time,timestamp,recordtime,lat,long,alt,speed,course
0,0,0,37.442,-122.1652,0,11.89,24.25386
0,0,0,37.4421,-122.1651,0,12.09,23.72049
0,0,0,37.44218,-122.1651,0,12.27,22.98872
0,0,0,37.4423,-122.165,0,12.22,24.7751
0,0,0,37.4424,-122.165,0,12.27,30.31121
0,0,0,37.44249,-122.1649,0,10.93,30.31121
0,0,0,37.44256,-122.1648,0,9.12,33.78311
0,0,0,37.44262,-122.1648,0,7.86,33.78311
0,0,0,37.44268,-122.1647,0,6.55,33.78311
0,0,0,37.44271,-122.1647,0,5.26,34.67028
0,0,0,37.44275,-122.1647,0,4.42,34.67028
0,0,0,37.44278,-122.1646,0,3.89,34.67028
0,0,0,37.4428,-122.1646,0,2.82,34.67028
0,0,0,37.44281,-122.1646,0,1.02,34.67028
0,0,0,37.44282,-122.1646,0,0.23,34.67028
0,0,0,37.44281,-122.1646,0,0.26,34.67028
0,0,0,37.44282,-122.1646,0,0.19,34.67028
0,0,0,37.44281,-122.1646,0,0.21,34.67028
0,0,0,37.4428,-122.1646,0,0.27,34.67028
0,0,0,37.44281,-122.1646,0,0.28,34.67028
0,0,0,37.44282,-122.1646,0,0.8,35.06595
0,0,0,37.44283,-122.1646,0,0.63,35.06595
0,0,0,37.44282,-122.1646,0,0.0,35.06595
0,0,0,37.44283,-122.1646,0,0.2,35.06595
0,0,0,37.44284,-122.1646,0,0.32,35.06595
0,0,0,37.44285,-122.1646,0,1.38,35.06595
0,0,0,37.44286,-122.1646,0,1.81,35.06595
0,0,0,37.44287,-122.1646,0,1.91,35.06595
0,0,0,37.44289,-122.1646,0,1.95,35.06595
0,0,0,37.4429,-122.1645,0,1.99,35.06595
0,0,0,37.44292,-122.1645,0,2.05,35.06595
0,0,0,37.44294,-122.1645,0,1.67,36.86984
0,0,0,37.44296,-122.1645,0,1.75,36.86984
0,0,0,37.44297,-122.1645,0,1.64,36.86984
0,0,0,37.44298,-122.1645,0,1.52,36.86984
0,0,0,37.44299,-122.1645,0,1.27,36.86984
0,0,0,37.443,-122.1644,0,1.12,36.86984
0,0,0,37.44301,-122.1644,0,1.06,36.86984
0,0,0,37.44302,-122.1644,0,0.88,38.94571
0,0,0,37.44303,-122.1644,0,0.67,38.94571
0,0,0,37.44304,-122.1644,0,0.57,38.94571
